year,state_name,ac_name,total_electors,total_valid_votes,turnout,margin,num_candidates,winner_vote_share,turnout_change,avg_turnout,turnout_volatility,low_turnout_score,negative_trend_score,volatility_score,large_electorate_penalty,priority_score
2014,Andhra Pradesh,Amalapuram,191497,149928,78.29,61707,11,50.99,-1.4199999999999875,80.37333333333333,2.4823846062472548,0.20800141617985468,0.014956814830419081,0.04611145349570456,0.045468319854983195,0.10145673360570683
2019,Andhra Pradesh,Amalapuram,203768,169382,83.12,43194,10,42.51,4.829999999999998,80.37333333333333,2.4823846062472548,0.20800141617985468,0.0,0.04611145349570456,0.048426763450135184,0.0972655335160963
2009,Andhra Pradesh,Amberpet,202014,119800,59.3,27243,16,49.36,,59.3,,0.4877854487519915,0.0,0.0,0.11257422312129992,0.20637160181292658
2009,Andhra Pradesh,Anakapalle,182820,143588,78.54,25984,12,40.79,,78.24,0.6722350779303302,0.2363250132766861,0.0,0.012487080549950147,0.049282930420643224,0.1019557144627288
2014,Andhra Pradesh,Anakapalle,190355,149837,78.71,51613,14,53.33,0.1699999999999875,78.24,0.6722350779303302,0.2363250132766861,0.0,0.012487080549950147,0.0513469318475288,0.10216211460541735
2019,Andhra Pradesh,Anakapalle,205573,159249,77.47,53050,13,45.97,-1.2399999999999949,78.24,0.6722350779303302,0.2363250132766861,0.013060880556140667,0.012487080549950147,0.05551547514073979,0.10649723310158066
2009,Andhra Pradesh,Anantapur Urban,229876,116008,50.47,24175,17,39.03,,57.635,6.49907429305641,0.5098911311736591,0.0,0.12072334048286076,0.1341426211477628,0.2415153826808121
2012,Andhra Pradesh,Anantapur Urban,229876,124239,54.05,31574,12,52.9,3.5799999999999983,57.635,6.49907429305641,0.5098911311736591,0.0,0.12072334048286076,0.1341426211477628,0.2415153826808121
2014,Andhra Pradesh,Anantapur Urban,252818,155417,61.47,62018,23,48.07,7.420000000000002,57.635,6.49907429305641,0.5098911311736591,0.0,0.12072334048286076,0.14770156240206717,0.24287127680624254
2019,Andhra Pradesh,Anantapur Urban,255852,165141,64.55,49086,13,53.71,3.0799999999999983,57.635,6.49907429305641,0.5098911311736591,0.0,0.12072334048286076,0.14949468539768915,0.24305058910580474
2009,Andhra Pradesh,Anaparthy,181683,156386,86.08,35874,20,45.16,,86.42,0.9090104509850262,0.1277217206585235,0.0,0.016885293693901713,0.026466609520774564,0.0571124079542672
2014,Andhra Pradesh,Anaparthy,203289,174274,85.73,79245,16,47.85,-0.3499999999999943,86.42,0.9090104509850262,0.1277217206585235,0.003686538866652563,0.016885293693901713,0.02966518186599327,0.05853822684878484
2019,Andhra Pradesh,Anaparthy,213511,186710,87.45,55207,12,59.86,1.7199999999999989,86.42,0.9090104509850262,0.1277217206585235,0.0,0.016885293693901713,0.03117845625795965,0.05758359262798571
2009,Andhra Pradesh,Andole,226321,170218,75.21,70508,7,46.22,,75.21,,0.27655337227827936,0.0,0.0,0.07161635611674391,0.11778298452298615
2009,Andhra Pradesh,Araku Valley,196861,120384,61.15,15392,8,29.04,,67.53333333333335,5.562232765116306,0.378474066206408,0.0,0.10332107153559994,0.08508610235132505,0.1805624510248157
2014,Andhra Pradesh,Araku Valley,214100,150109,70.11,34053,11,42.44,8.96,67.53333333333335,5.562232765116306,0.378474066206408,0.0,0.10332107153559994,0.09264859980403102,0.1813187007700863
2019,Andhra Pradesh,Araku Valley,220893,157575,71.34,25441,12,33.7,1.230000000000004,67.53333333333335,5.562232765116306,0.378474066206408,0.0,0.10332107153559994,0.09562858966401314,0.18161669975608452
2009,Andhra Pradesh,Armur,163658,120822,73.83,14615,10,40.56,,73.83,,0.29487519915029203,0.0,0.0,0.0549435961038429,0.12344443927050111
2009,Andhra Pradesh,Asifabad,154321,117917,76.41,15286,9,36.39,,76.41,,0.2606213489113117,0.0,0.0,0.04574058041196839,0.10882259760572154
2009,Andhra Pradesh,Aswaraopeta,153271,125313,81.76,21336,10,36.85,,81.76,,0.18959107806691433,0.0,0.0,0.033043609168501166,0.07914079214361586
2009,Andhra Pradesh,Atmakur,189820,148137,78.04,49491,11,51.92,,80.00333333333333,2.9371811883731866,0.21291379005133648,0.0,0.054559512428203616,0.046128285707769855,0.1006902470769523
2014,Andhra Pradesh,Atmakur,208396,163788,78.59,51347,8,55.98,0.5499999999999972,80.00333333333333,2.9371811883731866,0.21291379005133648,0.0,0.054559512428203616,0.0507125857960851,0.10114867708578383
2019,Andhra Pradesh,Atmakur,209051,174307,83.38,68168,14,53.22,4.789999999999992,80.00333333333333,2.9371811883731866,0.21291379005133648,0.0,0.054559512428203616,0.05087423074428959,0.10116484158060428
2009,Andhra Pradesh,Avanigadda,185080,160533,86.74,31361,11,34.46,,77.8,18.662654330685832,0.24216675517790753,0.0,0.3466675208628464,0.05113552632094555,0.17131375887582687
2013,Andhra Pradesh,Avanigadda,185080,92309,49.88,61644,3,81.55,-36.85999999999999,77.8,18.662654330685832,0.24216675517790753,0.3882452074994733,0.3466675208628464,0.05113552632094555,0.28778732112566885
2014,Andhra Pradesh,Avanigadda,196401,168232,85.66,70551,15,48.14,35.779999999999994,77.8,18.662654330685832,0.24216675517790753,0.0,0.3466675208628464,0.05431325167159231,0.17163153141089155
2019,Andhra Pradesh,Avanigadda,207353,184372,88.92,29166,13,42.55,3.260000000000005,77.8,18.662654330685832,0.24216675517790753,0.0,0.3466675208628464,0.0573874013085752,0.1719389463745898
2009,Andhra Pradesh,Badvel,184931,135133,73.07,36594,12,58.08,,74.16000000000001,1.9139749214657926,0.29049389272437576,0.0,0.03555297811668916,0.06129003415946286,0.12943715612903445
2014,Andhra Pradesh,Badvel,213176,155709,73.04,66615,13,50.66,-0.029999999999986926,74.16000000000001,1.9139749214657926,0.29049389272437576,0.00031598904571294425,0.03555297811668916,0.07080036512593503,0.13048298593939553
2019,Andhra Pradesh,Badvel,205338,156819,76.37,47865,15,60.89,3.3299999999999983,74.16000000000001,1.9139749214657926,0.29049389272437576,0.0,0.03555297811668916,0.06816124407388302,0.13012427712047644
2009,Andhra Pradesh,Bahadurpura,189361,92454,48.82,56735,11,70.8,,48.82,,0.6269251194901753,0.0,0.0,0.13549129987827194,0.2643191777838973
2009,Andhra Pradesh,Balkonda,169042,128467,76.0,25377,7,36.05,,76.0,,0.26606479022835894,0.0,0.0,0.05123578911865033,0.11154949500320861
2009,Andhra Pradesh,Banaganapalle,191902,144539,75.32,38644,17,38.36,,80.55333333333333,4.5396512347683045,0.20561161267480965,0.0,0.0843261419974687,0.045042438414450686,0.10361411731086267
2014,Andhra Pradesh,Banaganapalle,216578,179559,82.91,76415,7,53.31,7.590000000000003,80.55333333333333,4.5396512347683045,0.20561161267480965,0.0,0.0843261419974687,0.05092327953612914,0.10420220142303052
2019,Andhra Pradesh,Banaganapalle,233754,195020,83.43,84448,16,51.28,0.5200000000000102,80.55333333333333,4.5396512347683045,0.20561161267480965,0.0,0.0843261419974687,0.055016703393559414,0.10461154380877355
2009,Andhra Pradesh,Banswada,161732,128254,79.3,37407,8,54.47,,77.63499999999999,2.354665581351197,0.24435740839086573,0.0,0.04373901295518958,0.04498519663945637,0.11098928561132985
2011,Andhra Pradesh,Banswada,161732,122871,75.97,49889,6,67.75,-3.3299999999999983,77.63499999999999,2.354665581351197,0.24435740839086573,0.03507478407415208,0.04373901295518958,0.04498519663945637,0.12151172083357548
